Fecha,Moneda,Venta
2022-08-01,EUR,4.367
2022-08-02,EUR,4.377
2022-08-03,EUR,4.332
2022-08-04,EUR,4.358
2022-08-05,EUR,4.334
2022-08-06,EUR,4.334
2022-08-07,EUR,4.334
2022-08-08,EUR,4.396
2022-08-09,EUR,4.376
2022-08-10,EUR,4.344
2022-08-11,EUR,4.386
2022-08-12,EUR,4.388
2022-08-13,EUR,4.388
2022-08-14,EUR,4.388
2022-08-15,EUR,4.401
2022-08-16,EUR,4.371
2022-08-17,EUR,4.29
2022-08-18,EUR,4.381
2022-08-19,EUR,4.382
2022-08-20,EUR,4.382
2022-08-21,EUR,4.382
2022-08-22,EUR,4.381
2022-08-23,EUR,4.346
2022-08-24,EUR,4.038
2022-08-25,EUR,4.312
2022-08-26,EUR,4.29
2022-08-27,EUR,4.29
2022-08-28,EUR,4.29
2022-08-29,EUR,4.323
2022-08-30,EUR,4.323
2022-08-31,EUR,4.259
2022-09-01,EUR,4.319
2022-09-02,EUR,4.329
2022-09-03,EUR,4.329
2022-09-04,EUR,4.329
2022-09-05,EUR,4.334
2022-09-06,EUR,4.324
2022-09-07,EUR,4.231
2022-09-08,EUR,4.262
2022-09-09,EUR,4.316
2022-09-10,EUR,4.316
2022-09-11,EUR,4.316
2022-09-12,EUR,4.335
2022-09-13,EUR,4.259
2022-09-14,EUR,4.318
2022-09-15,EUR,4.334
2022-09-16,EUR,4.287
2022-09-17,EUR,4.287
2022-09-18,EUR,4.287
2022-09-19,EUR,4.305
2022-09-20,EUR,4.253
2022-09-21,EUR,4.275
2022-09-22,EUR,4.302
2022-09-23,EUR,4.282
2022-09-24,EUR,4.282
2022-09-25,EUR,4.282
2022-09-26,EUR,4.301
2022-09-27,EUR,4.145
2022-09-28,EUR,4.201
2022-09-29,EUR,4.21
2022-09-30,EUR,4.167
2022-10-01,EUR,4.167
2022-10-02,EUR,4.167
2022-10-03,EUR,4.189
2022-10-04,EUR,4.281
2022-10-05,EUR,4.251
2022-10-06,EUR,4.266
2022-10-07,EUR,4.273
2022-10-08,EUR,4.273
2022-10-09,EUR,4.273
2022-10-10,EUR,4.269
2022-10-11,EUR,4.252
2022-10-12,EUR,4.227
2022-10-13,EUR,4.261
2022-10-14,EUR,4.271
2022-10-15,EUR,4.271
2022-10-16,EUR,4.271
2022-10-17,EUR,4.277
2022-10-18,EUR,3.983
2022-10-19,EUR,4.238
2022-10-20,EUR,4.298
2022-10-21,EUR,4.254
2022-10-22,EUR,4.254
2022-10-23,EUR,4.254
2022-10-24,EUR,4.288
2022-10-25,EUR,4.253
2022-10-26,EUR,4.267
2022-10-27,EUR,4.203
2022-10-28,EUR,4.259
2022-10-29,EUR,4.259
2022-10-30,EUR,4.259
2022-10-31,EUR,4.309
2022-11-01,EUR,4.309
2022-11-02,EUR,4.255
2022-11-03,EUR,4.253
2022-11-04,EUR,4.304
2022-11-05,EUR,4.304
2022-11-06,EUR,4.304
2022-11-07,EUR,4.288
2022-11-08,EUR,4.268
2022-11-09,EUR,4.197
2022-11-10,EUR,4.31
2022-11-11,EUR,4.305
2022-11-12,EUR,4.305
2022-11-13,EUR,4.305
2022-11-14,EUR,4.336
2022-11-15,EUR,4.303
2022-11-16,EUR,4.272
2022-11-17,EUR,4.333
2022-11-18,EUR,4.329
2022-11-19,EUR,4.329
2022-11-20,EUR,4.329
2022-11-21,EUR,4.314
2022-11-22,EUR,4.278
2022-11-23,EUR,4.279
2022-11-24,EUR,4.171
2022-11-25,EUR,4.261
2022-11-26,EUR,4.261
2022-11-27,EUR,4.261
2022-11-28,EUR,4.317
2022-11-29,EUR,4.284
2022-11-30,EUR,4.331
2022-12-01,EUR,4.314
2022-12-02,EUR,4.383
2022-12-03,EUR,4.383
2022-12-04,EUR,4.383
2022-12-05,EUR,4.384
2022-12-06,EUR,4.405
2022-12-07,EUR,4.382
2022-12-08,EUR,4.382
2022-12-09,EUR,4.382
2022-12-10,EUR,4.382
2022-12-11,EUR,4.382
2022-12-12,EUR,4.36
2022-12-13,EUR,4.393
2022-12-14,EUR,4.416
2022-12-15,EUR,4.378
2022-12-16,EUR,4.336
2022-12-17,EUR,4.336
2022-12-18,EUR,4.336
2022-12-19,EUR,4.353
2022-12-20,EUR,4.289
2022-12-21,EUR,4.15
2022-12-22,EUR,4.144
2022-12-23,EUR,4.186
2022-12-24,EUR,4.186
2022-12-25,EUR,4.186
2022-12-26,EUR,4.074
2022-12-27,EUR,4.182
2022-12-28,EUR,4.152
2022-12-29,EUR,4.241
2022-12-30,EUR,4.36
2022-12-31,EUR,4.36
2023-01-01,EUR,4.36
2023-01-02,EUR,4.36
2023-01-03,EUR,4.088
2023-01-04,EUR,4.141
2023-01-05,EUR,4.155
2023-01-06,EUR,4.087
2023-01-07,EUR,4.087
2023-01-08,EUR,4.087
2023-01-09,EUR,4.376
2023-01-10,EUR,4.241
2023-01-11,EUR,4.186
2023-01-12,EUR,4.173
2023-01-13,EUR,4.365
2023-01-14,EUR,4.365
2023-01-15,EUR,4.365
2023-01-16,EUR,4.231
2023-01-17,EUR,4.186
2023-01-18,EUR,4.237
2023-01-19,EUR,4.366
2023-01-20,EUR,4.423
2023-01-21,EUR,4.423
2023-01-22,EUR,4.423
2023-01-23,EUR,4.338
2023-01-24,EUR,4.238
2023-01-25,EUR,4.431
2023-01-26,EUR,4.267
2023-01-27,EUR,4.42
2023-01-28,EUR,4.42
2023-01-29,EUR,4.42
2023-01-30,EUR,4.531
2023-01-31,EUR,4.28
2023-02-01,EUR,4.431
2023-02-02,EUR,4.32
2023-02-03,EUR,4.319
2023-02-04,EUR,4.319
2023-02-05,EUR,4.319
2023-02-06,EUR,4.229
2023-02-07,EUR,4.292
2023-02-08,EUR,4.208
2023-02-09,EUR,4.267
2023-02-10,EUR,4.255
2023-02-11,EUR,4.255
2023-02-12,EUR,4.255
2023-02-13,EUR,4.172
2023-02-14,EUR,4.436
2023-02-15,EUR,4.268
2023-02-16,EUR,4.234
2023-02-17,EUR,4.196
2023-02-18,EUR,4.196
2023-02-19,EUR,4.196
2023-02-20,EUR,4.392
2023-02-21,EUR,4.23
2023-02-22,EUR,4.176
2023-02-23,EUR,4.271
2023-02-24,EUR,4.177
2023-02-25,EUR,4.177
2023-02-26,EUR,4.177
2023-02-27,EUR,4.086
2023-02-28,EUR,4.35
2023-03-01,EUR,4.228
2023-03-02,EUR,4.206
2023-03-03,EUR,4.207
2023-03-04,EUR,4.207
2023-03-05,EUR,4.207
2023-03-06,EUR,4.376
2023-03-07,EUR,4.265
2023-03-08,EUR,4.14
2023-03-09,EUR,4.162
2023-03-10,EUR,4.292
2023-03-11,EUR,4.292
2023-03-12,EUR,4.292
2023-03-13,EUR,4.367
