Fecha,Moneda,Venta
2022-08-16,USD,3.86
2022-08-17,USD,3.847
2022-08-18,USD,3.847
2022-08-19,USD,3.857
2022-08-20,USD,3.857
2022-08-21,USD,3.857
2022-08-22,USD,3.88
2022-08-23,USD,3.864
2022-08-24,USD,3.867
2022-08-25,USD,3.861
2022-08-26,USD,3.847
2022-08-27,USD,3.847
2022-08-28,USD,3.847
2022-08-29,USD,3.838
2022-08-30,USD,3.838
2022-08-31,USD,3.847
2022-09-01,USD,3.865
2022-09-02,USD,3.876
2022-09-03,USD,3.876
2022-09-04,USD,3.876
2022-09-05,USD,3.885
2022-09-06,USD,3.897
2022-09-07,USD,3.896
2022-09-08,USD,3.881
2022-09-09,USD,3.883
2022-09-10,USD,3.883
2022-09-11,USD,3.883
2022-09-12,USD,3.859
2022-09-13,USD,3.862
2022-09-14,USD,3.875
2022-09-15,USD,3.892
2022-09-16,USD,3.883
2022-09-17,USD,3.883
2022-09-18,USD,3.883
2022-09-19,USD,3.871
2022-09-20,USD,3.883
2022-09-21,USD,3.903
2022-09-22,USD,3.913
2022-09-23,USD,3.911
2022-09-24,USD,3.911
2022-09-25,USD,3.911
2022-09-26,USD,3.938
2022-09-27,USD,3.949
2022-09-28,USD,3.952
2022-09-29,USD,3.971
2022-09-30,USD,3.984
2022-10-01,USD,3.984
2022-10-02,USD,3.984
2022-10-03,USD,3.969
2022-10-04,USD,3.955
2022-10-05,USD,3.966
2022-10-06,USD,3.983
2022-10-07,USD,3.98
2022-10-08,USD,3.98
2022-10-09,USD,3.98
2022-10-10,USD,3.967
2022-10-11,USD,3.972
2022-10-12,USD,3.984
2022-10-13,USD,3.987
2022-10-14,USD,3.992
2022-10-15,USD,3.992
2022-10-16,USD,3.992
2022-10-17,USD,3.985
2022-10-18,USD,3.979
2022-10-19,USD,3.985
2022-10-20,USD,3.978
2022-10-21,USD,3.984
2022-10-22,USD,3.984
2022-10-23,USD,3.984
2022-10-24,USD,4.003
2022-10-25,USD,4.002
2022-10-26,USD,3.996
2022-10-27,USD,3.987
2022-10-28,USD,3.978
2022-10-29,USD,3.978
2022-10-30,USD,3.978
2022-10-31,USD,3.993
2022-11-01,USD,3.993
2022-11-02,USD,3.976
2022-11-03,USD,3.973
2022-11-04,USD,3.962
2022-11-05,USD,3.962
2022-11-06,USD,3.962
2022-11-07,USD,3.957
2022-11-08,USD,3.936
2022-11-09,USD,3.918
2022-11-10,USD,3.87
2022-11-11,USD,3.86
2022-11-12,USD,3.86
2022-11-13,USD,3.86
2022-11-14,USD,3.86
2022-11-15,USD,3.838
2022-11-16,USD,3.842
2022-11-17,USD,3.845
2022-11-18,USD,3.841
2022-11-19,USD,3.841
2022-11-20,USD,3.841
2022-11-21,USD,3.838
2022-11-22,USD,3.846
2022-11-23,USD,3.852
2022-11-24,USD,3.85
2022-11-25,USD,3.873
2022-11-26,USD,3.873
2022-11-27,USD,3.873
2022-11-28,USD,3.861
2022-11-29,USD,3.847
2022-11-30,USD,3.854
2022-12-01,USD,3.836
2022-12-02,USD,3.835
2022-12-03,USD,3.835
2022-12-04,USD,3.835
2022-12-05,USD,3.848
2022-12-06,USD,3.851
2022-12-07,USD,3.851
2022-12-08,USD,3.851
2022-12-09,USD,3.851
2022-12-10,USD,3.851
2022-12-11,USD,3.851
2022-12-12,USD,3.84
2022-12-13,USD,3.835
2022-12-14,USD,3.841
2022-12-15,USD,3.849
2022-12-16,USD,3.853
2022-12-17,USD,3.853
2022-12-18,USD,3.853
2022-12-19,USD,3.842
2022-12-20,USD,3.839
2022-12-21,USD,3.825
2022-12-22,USD,3.819
2022-12-23,USD,3.827
2022-12-24,USD,3.827
2022-12-25,USD,3.827
2022-12-26,USD,3.823
2022-12-27,USD,3.822
2022-12-28,USD,3.817
2022-12-29,USD,3.818
2022-12-30,USD,3.82
2022-12-31,USD,3.82
2023-01-01,USD,3.82
2023-01-02,USD,3.82
2023-01-03,USD,3.823
2023-01-04,USD,3.827
2023-01-05,USD,3.83
2023-01-06,USD,3.806
2023-01-07,USD,3.806
2023-01-08,USD,3.806
2023-01-09,USD,3.803
2023-01-10,USD,3.806
2023-01-11,USD,3.783
2023-01-12,USD,3.784
2023-01-13,USD,3.806
2023-01-14,USD,3.806
2023-01-15,USD,3.806
2023-01-16,USD,3.822
2023-01-17,USD,3.842
2023-01-18,USD,3.836
2023-01-19,USD,3.861
2023-01-20,USD,3.859
2023-01-21,USD,3.859
2023-01-22,USD,3.859
2023-01-23,USD,3.873
2023-01-24,USD,3.885
2023-01-25,USD,3.9
2023-01-26,USD,3.867
2023-01-27,USD,3.829
2023-01-28,USD,3.829
2023-01-29,USD,3.829
2023-01-30,USD,3.859
2023-01-31,USD,3.851
2023-02-01,USD,3.848
2023-02-02,USD,3.835
2023-02-03,USD,3.847
2023-02-04,USD,3.847
2023-02-05,USD,3.847
2023-02-06,USD,3.855
2023-02-07,USD,3.848
2023-02-08,USD,3.856
2023-02-09,USD,3.869
2023-02-10,USD,3.858
2023-02-11,USD,3.858
2023-02-12,USD,3.858
2023-02-13,USD,3.854
2023-02-14,USD,3.861
2023-02-15,USD,3.865
2023-02-16,USD,3.868
2023-02-17,USD,3.849
2023-02-18,USD,3.849
2023-02-19,USD,3.849
2023-02-20,USD,3.85
2023-02-21,USD,3.836
2023-02-22,USD,3.827
2023-02-23,USD,3.805
2023-02-24,USD,3.82
2023-02-25,USD,3.82
2023-02-26,USD,3.82
2023-02-27,USD,3.816
2023-02-28,USD,3.81
2023-03-01,USD,3.784
2023-03-02,USD,3.784
2023-03-03,USD,3.789
2023-03-04,USD,3.789
2023-03-05,USD,3.789
2023-03-06,USD,3.788
2023-03-07,USD,3.789
2023-03-08,USD,3.788
2023-03-09,USD,3.792
2023-03-10,USD,3.786
2023-03-11,USD,3.786
2023-03-12,USD,3.786
2023-03-13,USD,3.803
2023-03-14,USD,3.789
2023-03-15,USD,3.808
2023-03-16,USD,3.801
2023-03-17,USD,3.798
2023-03-18,USD,3.798
2023-03-19,USD,3.798
2023-03-20,USD,3.785
2023-03-21,USD,3.77
2023-03-22,USD,3.774
2023-03-23,USD,3.767
2023-03-24,USD,3.773
2023-03-25,USD,3.773
2023-03-26,USD,3.773
2023-03-27,USD,3.772
2023-03-28,USD,3.768
2023-03-29,USD,3.759
2023-03-30,USD,3.761
2023-03-31,USD,3.765
2023-04-01,USD,3.765
2023-04-02,USD,3.765
2023-04-03,USD,3.77
2023-04-04,USD,3.773
2023-04-05,USD,3.774
2023-04-06,USD,3.774
2023-04-07,USD,3.774
2023-04-08,USD,3.774
2023-04-09,USD,3.774
2023-04-10,USD,3.781
2023-04-11,USD,3.787
2023-04-12,USD,3.78
2023-04-13,USD,3.777
2023-04-14,USD,3.784
2023-04-15,USD,3.784
2023-04-16,USD,3.784
2023-04-17,USD,3.785
2023-04-18,USD,3.781
2023-04-19,USD,3.781
2023-04-20,USD,3.768
2023-04-21,USD,3.768
2023-04-22,USD,3.768
2023-04-23,USD,3.768
2023-04-24,USD,3.761
2023-04-25,USD,3.762
2023-04-26,USD,3.75
2023-04-27,USD,3.737
2023-04-28,USD,3.719
2023-04-29,USD,3.719
2023-04-30,USD,3.719
2023-05-01,USD,3.719
2023-05-02,USD,3.715
2023-05-03,USD,3.709
2023-05-04,USD,3.719
2023-05-05,USD,3.717
2023-05-06,USD,3.717
2023-05-07,USD,3.717
2023-05-08,USD,3.71
2023-05-09,USD,3.702
2023-05-10,USD,3.678
2023-05-11,USD,3.683
2023-05-12,USD,3.659
2023-05-13,USD,3.659
2023-05-14,USD,3.659
2023-05-15,USD,3.667
2023-05-16,USD,3.683
2023-05-17,USD,3.697
2023-05-18,USD,3.702
2023-05-19,USD,3.696
2023-05-20,USD,3.696
2023-05-21,USD,3.696
2023-05-22,USD,3.695
2023-05-23,USD,3.695
2023-05-24,USD,3.69
2023-05-25,USD,3.698
2023-05-26,USD,3.675
2023-05-27,USD,3.675
2023-05-28,USD,3.675
2023-05-29,USD,3.68
2023-05-30,USD,3.677
2023-05-31,USD,3.682
2023-06-01,USD,3.684
2023-06-02,USD,3.688
2023-06-03,USD,3.688
2023-06-04,USD,3.688
2023-06-05,USD,3.68
2023-06-06,USD,3.691
2023-06-07,USD,3.674
2023-06-08,USD,3.661
2023-06-09,USD,3.646
2023-06-10,USD,3.646
2023-06-11,USD,3.646
2023-06-12,USD,3.658
2023-06-13,USD,3.648
2023-06-14,USD,3.652
2023-06-15,USD,3.654
2023-06-16,USD,3.645
2023-06-17,USD,3.645
2023-06-18,USD,3.645
2023-06-19,USD,3.647
2023-06-20,USD,3.648
2023-06-21,USD,3.645
2023-06-22,USD,3.641
2023-06-23,USD,3.638
2023-06-24,USD,3.638
2023-06-25,USD,3.638
2023-06-26,USD,3.642
2023-06-27,USD,3.64
2023-06-28,USD,3.636
2023-06-29,USD,3.636
2023-06-30,USD,3.633
2023-07-01,USD,3.633
2023-07-02,USD,3.633
2023-07-03,USD,3.63
2023-07-04,USD,3.634
2023-07-05,USD,3.633
2023-07-06,USD,3.648
2023-07-07,USD,3.643
2023-07-08,USD,3.643
2023-07-09,USD,3.643
2023-07-10,USD,3.643
2023-07-11,USD,3.638
2023-07-12,USD,3.599
2023-07-13,USD,3.573
2023-07-14,USD,3.567
2023-07-15,USD,3.567
2023-07-16,USD,3.567
2023-07-17,USD,3.57
2023-07-18,USD,3.557
2023-07-19,USD,3.589
2023-07-20,USD,3.592
2023-07-21,USD,3.591
2023-07-22,USD,3.591
2023-07-23,USD,3.591
2023-07-24,USD,3.588
2023-07-25,USD,3.604
2023-07-26,USD,3.602
2023-07-27,USD,3.602
2023-07-28,USD,3.602
2023-07-29,USD,3.602
2023-07-30,USD,3.602
